title,title_jp,title_cn,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Natsume Yuujinchou Shi,夏目友人帳 肆,夏目友人帐 肆,2012,Slice of Life|Supernatural|Comedy|Sci-Fi,8.63,59,117062,71.0,8.3,111.0,4385.0,26.67,8.0,65.0,6485.0,47.54
Ping Pong the Animation,ピンポン THE ANIMATION,乒乓,2014,Award Winning|Drama|Sports|Sport,8.63,60,202581,70.5,8.6,45.0,6003.0,70.67,8.7,8.0,16583.0,94.26
Odd Taxi,オッドタクシー,奇巧计程车,2021,Award Winning|Drama|Mystery|Suspense|Comedy|Crime,8.63,61,247931,70.0,8.4,92.0,7580.0,39.33,8.5,18.0,20574.0,86.07
Death Note,デスノート,,2006,Supernatural|Suspense|Crime|Drama,8.62,62,2977581,69.5,8.9,11.0,468861.0,93.33,,,,
Haikyuu!! Second Season,ハイキュー!! セカンドシーズン,排球少年 第二季,2015,Sports|Comedy|Fantasy,8.62,63,1020832,69.0,8.3,116.0,15253.0,23.33,8.3,27.0,6942.0,78.69
Natsume Yuujinchou Roku,夏目友人帳 陸,,2017,Slice of Life|Supernatural|Action|Drama,8.61,66,75973,67.5,8.7,33.0,101016.0,78.67,,,,
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,かぐや様は告らせたい？～天才たちの恋愛頭脳戦～,辉夜大小姐想让我告白?～天才们的恋爱头脑战～,2020,Comedy|Romance|Drama,8.61,67,950784,67.0,8.5,68.0,28175.0,55.33,7.9,72.0,23357.0,41.8
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,無職転生 ～異世界行ったら本気だす～ 第2クール,无职转生～到了异世界就拿出真本事～ 第2部分,2021,Adventure|Drama|Fantasy|Ecchi|Action,8.61,64,694536,68.5,8.2,127.0,35340.0,16.0,8.3,26.0,23061.0,79.51
Hajime no Ippo: Rising,はじめの一歩 Rising,,2013,Sports|Action|Comedy,8.61,65,162199,68.0,8.7,25.0,4045.0,84.0,,,,
Bungou Stray Dogs 5th Season,文豪ストレイドッグス,,2023,Action|Mystery,8.6,68,118306,66.5,,,,,,,,
Made in Abyss: Retsujitsu no Ougonkyou,メイドインアビス 烈日の黄金郷,来自深渊 烈日的黄金乡,2022,Adventure|Drama|Fantasy|Mystery|Sci-Fi,8.6,69,256728,66.0,,,,,8.3,36.0,12919.0,71.31
Dungeon Meshi,ダンジョン飯,迷宫饭,2024,Adventure|Comedy|Fantasy|Gourmet,8.59,70,290260,65.5,8.0,137.0,13734.0,9.33,7.8,78.0,16659.0,36.89
[Oshi no Ko] 3rd Season,【推しの子】 第3期,【我推的孩子】 第二季,2026,Drama|Adventure,8.58,71,23357,65.0,8.4,86.0,19.0,43.33,7.2,119.0,11574.0,3.28
Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,呪術廻戦 「死滅回游 前編」,,2026,Action|Supernatural,8.58,72,59391,64.5,,,,,,,,
Natsume Yuujinchou Shichi,夏目友人帳 漆,,2024,Slice of Life|Supernatural|Action|Fantasy,8.58,73,17790,64.0,6.2,150.0,2512.0,0.67,,,,
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,ジョジョの奇妙な冒険 黄金の風,JOJO的奇妙冒险 黄金之风,2018,Action|Adventure,8.58,74,772508,63.5,,,,,8.0,58.0,14888.0,53.28
Uma Musume: Cinderella Gray,ウマ娘 シンデレラグレイ,,2025,Drama|Sports|Horror,8.57,78,45543,61.5,7.9,139.0,6373.0,8.0,,,,
Ore dake Level Up na Ken Season 2: Arise from the Shadow,俺だけレベルアップな件 Season 2 -Arise from the Shadow-,我独自升级 第二季 -起于暗影-,2025,Action|Adventure|Fantasy,8.57,77,477263,62.0,8.5,60.0,104977.0,60.67,7.4,109.0,8791.0,11.48
Shingeki no Kyojin,進撃の巨人,进击的巨人,2013,Action|Award Winning|Drama|Suspense|Adventure,8.57,76,3038217,62.5,9.1,5.0,691912.0,97.33,8.2,44.0,29815.0,64.75
Nana,NANA [ナナ],,2006,Drama|Romance|Comedy,8.57,75,298970,63.0,8.5,51.0,8862.0,66.67,7.7,86.0,7174.0,30.33
Natsume Yuujinchou Go,夏目友人帳 伍,,2016,Slice of Life|Supernatural|Comedy,8.56,79,83225,61.0,8.6,43.0,443.0,72.0,,,,
Natsume Yuujinchou San,夏目友人帳 参,夏目友人帐 叁,2011,Slice of Life|Supernatural|Comedy|Sci-Fi,8.56,80,126441,60.5,8.3,113.0,4385.0,25.33,8.2,43.0,8876.0,65.57
Haikyuu!! To the Top Part 2,ハイキュー TO THE TOP 第2クール,,2020,Sports,8.56,81,548281,60.0,,,,,,,,
Kaoru Hana wa Rin to Saku,薫る花は凛と咲く,,2025,Drama|Romance|Comedy,8.55,82,199621,59.5,8.3,112.0,10992.0,26.0,,,,
Steins;Gate 0,シュタインズ・ゲート ゼロ,命运石之门 0,2018,Drama|Sci-Fi|Suspense|Mystery,8.55,83,469862,59.0,8.4,87.0,14487.0,42.67,8.2,45.0,15195.0,63.93
Yojouhan Shinwa Taikei,四畳半神話大系,四叠半神话大系,2010,Award Winning|Comedy|Mystery|Romance|Suspense|Drama,8.55,84,155923,58.5,8.4,88.0,5700.0,42.0,8.6,14.0,14763.0,89.34
[Oshi no Ko],【推しの子】,【我推的孩子】,2023,Award Winning|Drama|Fantasy,8.54,89,607060,56.0,8.2,124.0,14980.0,18.0,7.4,108.0,19932.0,12.3
Chiikawa,ちいかわ,,2022,Slice of Life|Action|Comedy,8.54,88,5420,56.5,8.3,109.0,97266.0,28.0,,,,
Shouwa Genroku Rakugo Shinjuu,昭和元禄落語心中,,2016,Drama|Comedy,8.54,85,99298,58.0,8.3,106.0,1625.0,30.0,,,,
Shingeki no Kyojin Season 2,進撃の巨人 Season2,进击的巨人 第二季,2017,Action|Drama|Suspense|Thriller,8.54,86,2045132,57.5,7.7,142.0,22020.0,6.0,8.1,53.0,20681.0,57.38
